sourceDomainId,targetDomainId,created,dataSources,type,updated
uniprot.P28288,entrez.5825,2023-04-02T23:15:53.827000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.827000
uniprot.O14678,entrez.5826,2023-04-02T23:15:53.827000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.827000
uniprot.P61221,entrez.6059,2023-04-02T23:15:53.827000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.827000
uniprot.Q8NE71,entrez.23,2023-04-02T23:15:53.827000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.827000
uniprot.Q9UG63,entrez.10061,2023-04-02T23:15:53.827000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.827000
uniprot.Q9NUQ8,entrez.55324,2023-04-02T23:15:53.827000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.827000
uniprot.P45844,entrez.9619,2023-04-02T23:15:53.827000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.827000
uniprot.Q9UNQ0,entrez.9429,2023-04-02T23:15:53.827000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.827000
uniprot.Q9H172,entrez.64137,2023-04-02T23:15:53.827000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.827000
uniprot.Q9H222,entrez.64240,2023-04-02T23:15:53.827000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.827000
uniprot.Q9H221,entrez.64241,2023-04-02T23:15:53.827000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.827000
uniprot.Q8N2K0,entrez.26090,2023-04-02T23:15:53.827000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.827000
uniprot.P41238,entrez.339,2023-04-02T23:15:53.827000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.827000
uniprot.Q9Y235,entrez.10930,2023-04-02T23:15:53.827000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.827000
uniprot.Q8WW27,entrez.403314,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.Q6UXT9,entrez.116236,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.Q96SE0,entrez.84696,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.P08910,entrez.11057,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.Q8WU67,entrez.171586,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.Q8TB40,entrez.63874,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.Q8WTS1,entrez.51099,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.Q9BV23,entrez.57406,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.Q96I13,entrez.79575,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.Q9NUJ1,entrez.55347,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.Q8NFV4,entrez.83451,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.Q7L211,entrez.84945,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.Q9BUJ0,entrez.25864,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.Q96IU4,entrez.84836,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.O95870,entrez.7920,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.Q9H3Z7,entrez.140701,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.Q8IZP0,entrez.10006,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.Q9NYB9,entrez.10152,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.Q9P2A4,entrez.51225,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.Q9NX38,entrez.54942,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.P00519,entrez.25,2023-04-02T23:15:53.828000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.828000
uniprot.P42684,entrez.27,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
uniprot.O14639,entrez.3983,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
uniprot.Q6H8Q1,entrez.84448,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
uniprot.O94929,entrez.22885,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
uniprot.Q9P1F3,entrez.58527,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
uniprot.Q8N0Z2,entrez.137735,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
uniprot.Q6UWZ7,entrez.84142,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
uniprot.Q15018,entrez.23172,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
uniprot.Q12979,entrez.29,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
uniprot.Q9ULW3,entrez.29777,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
uniprot.Q969K4,entrez.80325,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
uniprot.Q8N961,entrez.25841,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
uniprot.A6QL63,entrez.121551,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
uniprot.Q13085,entrez.31,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
uniprot.O00763,entrez.32,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
uniprot.Q9UKU7,entrez.27034,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
uniprot.Q9H845,entrez.28976,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
uniprot.P28330,entrez.33,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
uniprot.P11310,entrez.34,2023-04-02T23:15:53.829000,['uniprot'],ProteinEncodedByGene,2023-04-02T23:15:53.829000
